,ID,Name,lon1,lat1,lon2,lat2
145,517a4f8afb340d354059fc57b15307824440f00101f901abf6620000000000c00208,Grnchari,21.0276558,41.0011489,21.0991873,41.0297332
146,51a7cea3e2ff0235405962f316b4358e4440f00101f90164f1620000000000c00208,Jankovec,20.9906083,41.0949903,21.0450138,41.1275628
147,513e096ccec11b354059a4d46f7033784440f00101f901adf6620000000000c00208,Krani,21.0783128,40.9216794,21.1176709,40.958927
148,51cdcea2772a023540598e8e50d8ea8a4440f00101f90167f1620000000000c00208,Resen,20.9880119,41.0611926,21.0596962,41.1024085
149,51d97d22aa4bf1354059d66f26a60bc24440f00101f901bf27680000000000c00207,Rosoman,21.9146602,41.4940174,21.9679164,41.5590455
150,51fe9bc9fac80433405922b3695b831c4540f00101f9016bf59b0000000000c00208,Bukovik,18.9880985,42.2111142,19.0361603,42.2342383
151,51aeba0befa3553540593802a72d64fc4440f00101f90166f4690000000000c00208,Grchec,21.32236,41.9599149,21.345946,41.9838348
152,5182fc112b4850354059dd7470557e014540f00101f90173f4690000000000c00208,Kondovo,21.2964392,42.0064163,21.3251697,42.0312072
153,517d4c5aa78058354059a026440aafff4440f00101f90167f4690000000000c00208,Krushopek,21.3353205,41.9605951,21.3684686,42.0022915
154,51a9392f04ef6e354059af05bd3786fa4440f00101f9015b0b6a0000000000c00207,Sopishte,21.4013243,41.9328804,21.463514,41.9661081
155,519f46109d54d435405903a5b27279194540f00101f9011b5c680000000000c00208,Staro Nagorichane,21.8016386,42.1822005,21.8566561,42.2215701
156,51fe0e45813eb934405945f0bf95eca04440c00208e2031e77686f736f6e66697273743a6c6f63616c6974793a383930343931393335,Delogo\u017edi,20.70361,41.23722,20.74361,41.27722
157,513f8974e4ed9934405962a2410a9eac4440f00101f9014fd4620000000000c00208,Lukovo,20.5420478,41.3384075,20.6337176,41.3750817
158,51bf620d17b9b5344059b8d33142d3974440f00101f90147db620000000000c00208,Misleshevo,20.6771795,41.165791,20.7405015,41.2076817
159,5160c6b9f2fe9a34405917f549eeb09d4440f00101f90119de620000000000c00208,Oktisi,20.5689769,41.2033328,20.6330028,41.2379812
160,517bcf9211619f344059a36e0ca606954440f00101f9011bde620000000000c00208,Radolishta,20.5675717,41.1471261,20.6517631,41.180409
161,519208e81956a43440592ddb3d2fcb9e4440f00101f9011fde620000000000c00208,Veleshta,20.6229928,41.2210326,20.6698263,41.2514207
162,51d768de16d1a936405979ac1919e4b34440f00101f901e9e8680000000000c00208,Kuklish,22.6381445,41.3579028,22.697196,41.4268646
163,51bf1df2e038ba3640596b9f8ec70cb54440f00101f901eee8680000000000c00208,Murtino,22.7003717,41.3481378,22.7444887,41.4277177
164,5142ddf6f35c91364059d61ef64201bd4440f00101f901d8e8680000000000c00208,Veljusa,22.5210714,41.4454608,22.6061296,41.4999265
165,51467fc39f3c7b3540595bfff85cb7f54440f00101f90128146a0000000000c00208,Batinci,21.4481878,41.9053393,21.4977121,41.9368201
166,5143f5204e717c3540591d0d96a075f14440f00101f90126146a0000000000c00208,Dolno Kolichani,21.4759111,41.8565947,21.4991223,41.923259
167,5185aae2d7598c354059e72f99cf5ef44440f00101f90120146a0000000000c00208,Morani,21.5265942,41.8875864,21.5947746,41.9365947
168,51cdcccccccc6c35405985eb51b81e054540c00208e2031f77686f736f6e66697273743a6c6f63616c6974793a31323236333738373339,Suto Orizare,21.405,42.02,21.445,42.06
169,518489f5fc1fe0354059b6aee29ef8ef4440f00101f90174e7660000000000c00208,Gorobinci,21.8197328,41.8486891,21.9199991,41.8901063
170,515c2d663a2af13540590b1fb699afee4440f00101f90165e7660000000000c00207,Sveti Nikole,21.9102788,41.8398014,22.0017602,41.9069084
171,5148eaf307b91b35405900d358b1ae0d4540f00101f90155c8690000000000c00208,Nerashte,21.092999,42.0800852,21.1373681,42.1192016
172,513991aa37b4cc3540596d5512d907084540f00101f9018c4a680000000000c00208,Orashac,21.7609549,42.0286072,21.836915,42.0893376
173,5172d1da7e43103540593e9fb7674c0a4540f00101f90159c8690000000000c00208,Prshovce,21.0530233,42.0588841,21.1053586,42.0865509
174,515b615518b6dd3440595b21510da0ac4440f00101f9015d80620000000000c00208,Slatino,20.8350694,41.3327836,20.9439183,41.374847
