,ID,Name,Lon,Lat,Formatted,Stars,Building,City_ID
46,51866fbc96ebba3540591f147c4ca4134540f00103f901c4e6f5b80000000092030ed0a1d0b0d182d0b5d0bbd0b8d182,Satelit,21.7301573,42.1534515,"Satelit, R2237, 1300 Kumanovo, North Macedonia",NR,unknown,5133c34659bfb73540593d43ddac66114540f00101f901ad4e680000000000c00207
47,51d3c32ba457be354059f8387a758e0f4540f00103f9011786410b0200000092030c4b756d616e6f766f20537061,Kumanovo Spa,21.7435248,42.121535,"Kumanovo Spa, R1204, 1300 Kumanovo, North Macedonia",NR,unknown,5133c34659bfb73540593d43ddac66114540f00101f901ad4e680000000000c00207
48,51593f49f06ecf34405951d95daa798d4440f00102f901e7463a2300000000920306554e49515545,UNIQUE,20.8102898627948,41.10529725,"UNIQUE, Partizanska 56, 6000 Ohrid, North Macedonia",5,hotel,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
49,51ad11667f45cb344059cf0529ea718e4440f00103f901d5d1cda60100000092030c56696c6c61205661726f7368,Villa Varosh,20.7940292,41.1128514,"Villa Varosh, Boro Shain 15A, 6000 Ohrid, North Macedonia",NR,unknown,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
50,518c0dddec0fcc34405922f8fcfd628e4440f00103f901e26f34ff0000000092031fd090d0bfd0b0d180d182d0bcd0b0d0bdd0b820d09cd0b0d180d0b8d198d0b0,Apartmani Marija,20.797118,41.112396,"Apartmani Marija, Car Samoil 34, 6000 Ohrid, North Macedonia",NR,unknown,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
51,5102c46ee9e2ce3440597f447892be8d4440f00103f90128d8565101000000920312486f74656c2056696c6c61204a6f7264616e,Hotel Villa Jordan,20.8081499,41.1073783,"Hotel Villa Jordan, Kej Makedonija, 6000 Ohrid, North Macedonia",NR,unknown,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
52,518c61f316b4cf34405984bf5e2ee28d4440f00103f90121f384970100000092030956696c61204e696b6f,Vila Niko,20.8113417,41.108465,"Vila Niko, Bulevar Turisticka, MK-6000 Ohrid, North Macedonia",NR,unknown,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
53,5179b82e466ec534405958be78c201904440f00103f901f15b599901000000920311477265656e20537061636520486f74656c,Green Space Hotel,20.7712139,41.1250537,"Green Space Hotel, Goce Delcev 389, 6000 Ohrid, North Macedonia",NR,unknown,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
54,5102482e7702cd344059831cd0f9178a4440f00102f90180329a0b00000000920328d0a5d0bed182d0b5d0bb20d0a1d0bbd0b0d0b2d0b8d198d0b020d0a1d0bfd0b5d0bad182d0b0d180,Hotel Slavija Spektar,20.8007299292223,41.07901255,"Hotel Slavija Spektar, Saint Naum of Ohrid Boulevard, MK-6000 Shipokno, North Macedonia",NR,unknown,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
55,519dc1ec0f17cc344059361e02aad48a4440f00102f90185329a0b00000000920322d0a5d0bed182d0b5d0bb20d098d0bdd0b5d0bad18120d093d0bed180d0b8d186d0b0,Hotel Ineks Gorica,20.7972498962111,41.0845657,"Hotel Inex Gorica, Saint Naum of Ohrid Boulevard, MK-6000 Ohrid, North Macedonia",NR,hotel,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
56,518445957e4acc34405939a49b945c8e4440f00102f901d034381200000000920321d0a5d0bed182d0b5d0bb20d090d0bbd0b5d0bad0b0d0bdd0b4d180d0b8d198d0b0,Hotel Alekandrija,20.7980117500615,41.1122006,"Hotel Alekandrija, Kosta Abrash, 6000 Ohrid, North Macedonia",NR,hotel,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
57,511f9ba5d852cc344059c5f9e1e15e8e4440f00102f901d13438120000000092031ed092d0b8d0bbd0b020d09ad0bed181d182d0b020d09ed185d180d0b8d0b4,Vila Kosta Ohrid,20.7981328104735,41.1122698,"Vila Kosta Ohrid, Tsar Samoil, 6000 Ohrid, North Macedonia",NR,hotel,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
58,5187cee49828c6344059f7ce0616a58f4440f00102f9018e06c21a0000000092030cd094d0b0d0bbd198d0b0d0bd,Daljan,20.7740567861833,41.1222254,"Daljan, R1208, MK6000 Ohrid, North Macedonia",NR,hotel,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
59,5107659f7e48cb3440598cb46325748e4440f00102f901d5aa432d0000000092030c56696c6c61205661726f7368,Villa Varosh,20.7940659024059,41.1128863,"Villa Varosh, Boro Shain 15a, 6000 Ohrid, North Macedonia",NR,hotel,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
60,517072bf4351ce344059712f5e0a598e4440f00103f90101698459000000009203174465204c75782041706172746d656e7473204f68726964,De Lux Apartments Ohrid,20.8059275,41.1120923,"De Lux Apartments Ohrid, Serafim Kitanoski, 6000 Ohrid, North Macedonia",NR,unknown,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
61,517c5171d2eace3440595ec27779848d4440f00103f9017feebc8d0000000092030c484f54454c2047415244454e,HOTEL GARDEN,20.8082706,41.1056053,"HOTEL GARDEN, Kej Makedonija, 6000 Ohrid, North Macedonia",NR,unknown,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
62,51a5176b6e3bcd3440592f262b9d598e4440f00103f901963c12e40000000092030ed0a0d0b8d0b2d0b8d0b5d180d0b0,Riviera,20.8016881,41.1121098,"Riviera, Kuzman Josifoski, 6000 Ohrid, North Macedonia",NR,unknown,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
63,5159efdc20ffcd344059408cd1ac118e4440f00103f901a43c12e400000000920313d0a1d0b8d182d0b820d09fd0b0d0bbd0b0d181,Siti Palas,20.8046742,41.1099144,"City Palace, Kej Makedonija, 6000 Ohrid, North Macedonia",NR,unknown,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
64,51bc0e304ed7c834405900daa92b448f4440f00103f901072dfef100000000920308d09cd0b8d0b7d0be,Mizo,20.7845353,41.1192679,"Mizo, Vasil Stefoski, 6000 Ohrid, North Macedonia",NR,unknown,51047058bf3ecd344059ebbb6c85fa8e4440f00101f901bcee620000000000c00208
